City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Clarence Town,AU,2021-12-31 11:46:53,-32.5833,151.7833,73.85,75,0,9.73
270,Piracuruca,BR,2021-12-31 11:46:53,-3.9281,-41.7092,73.8,95,100,4.25
271,Surin,TH,2021-12-31 11:46:54,14.8818,103.4936,79.18,56,53,12.62
272,Narsaq,GL,2021-12-31 11:46:55,60.9167,-46.05,14.22,53,67,7.92
273,Yanam,IN,2021-12-31 11:46:56,16.7333,82.2167,81.0,69,2,8.01
274,Sao Joao Da Barra,BR,2021-12-31 11:46:56,-21.6403,-41.0511,78.89,84,100,13.62
275,Ribeira Grande,PT,2021-12-31 11:46:57,38.5167,-28.7,57.6,77,40,24.16
276,Qazanbulaq,AZ,2021-12-31 11:46:57,40.6192,46.6519,49.1,35,74,3.04
277,Cap Malheureux,MU,2021-12-31 11:45:03,-19.9842,57.6142,82.89,57,43,8.01
278,Hervey Bay,AU,2021-12-31 11:47:58,-25.2986,152.8535,76.03,79,99,20.09
279,Cabatuan,PH,2021-12-31 11:47:59,10.8794,122.486,73.62,87,100,13.24
280,Sekoma,BW,2021-12-31 11:47:59,-24.4,23.8833,95.2,21,12,15.43
281,Bollnas,SE,2021-12-31 11:48:00,61.3482,16.3946,27.39,90,100,2.35
282,Cabedelo,BR,2021-12-31 11:48:01,-6.9811,-34.8339,83.07,65,40,11.56
283,Fortuna,US,2021-12-31 11:48:02,40.5982,-124.1573,40.08,96,90,0.0
284,Port Augusta,AU,2021-12-31 11:48:03,-32.5,137.7667,91.54,21,49,14.94
285,Codrington,AU,2021-12-31 11:48:03,-38.2667,141.9667,60.73,73,5,5.44
286,Salta,AR,2021-12-31 11:44:38,-24.7859,-65.4117,75.49,73,75,2.3
287,Veshkayma,RU,2021-12-31 11:48:04,54.05,47.1333,22.53,95,99,7.65
288,Tinskoy,RU,2021-12-31 11:48:05,56.1525,96.9161,6.75,93,100,9.55
289,Mancora,PE,2021-12-31 11:48:06,-4.1078,-81.0475,73.4,71,8,2.68
290,Carutapera,BR,2021-12-31 11:47:14,-1.195,-46.02,79.84,88,87,8.84
291,Constitucion,CL,2021-12-31 11:48:07,-35.3333,-72.4167,60.17,46,0,8.52
292,Cayenne,GF,2021-12-31 11:48:08,4.9333,-52.3333,81.09,82,75,5.99
